fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000.hdf5,Ma_xp_A1900_n60_r12_v00_90000.hdf5,True,True,True,1067.3898505046964,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n60_r16_v00_72000_fof_0.003_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000.hdf5,Ma_xp_A1900_n60_r16_v00_90000.hdf5,True,True,True,996.7603255063295,1002827,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r11_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,True,True,True,1069.6160607039928,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,True,True,True,1069.6160607039928,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r12_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v02_90000.hdf5,True,True,True,50473.652780056,3227685,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r12_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v04_90000.hdf5,True,True,True,1111.8011316284537,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r12_v06_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r12_v08_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v08_90000.hdf5,True,True,True,1218.1306956335902,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r12_v10_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v10_90000.hdf5,True,True,True,42424.34352636337,3227688,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r12_v15_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r12_v20_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r12_v25_75000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r12_v30_65000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r13_v00_90000.hdf5,True,True,True,1052.4175595492125,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v00_90000.hdf5,True,True,True,1057.0383165031672,3227694,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
